Analyse;T70_HC_PYR;T90_HC_PYR;T30_CO2_PYR;T50_CO2_PYR;T70_CO2_PYR;T90_CO2_PYR;T70_CO_OX;T50_CO2_OX;T70_CO2_OX;T90_CO2_OX;PseudoS1;S2;S2_PC;HI;OI;OICO;OIRE6;HI_OIre6;PC;PC_TOCRE6;TOCRE6;T10_HC_PYR;T30_HC_PYR;S1S2_HC_PYR;S1S2_TOT_PYR;StableCarbon;ActiveCarbon;Confidence;
IFP 160K_01;474.00;504.00;434.00;481.00;521.00;550.00;519.00;469.00;516.00;566.00;0.28;10.38;0.94;377.95;24.18;10.73;23.71;15.94;11.02;0.33;33.10;408.00;438.00;10.38;13.12;47.31;52.69;44.52;;;
IFP 160K_02;475.00;505.00;433.00;480.00;519.00;550.00;522.00;469.00;515.00;566.00;0.28;10.30;0.94;376.25;24.09;10.85;23.72;15.86;10.94;0.33;33.02;409.00;439.00;10.30;13.04;47.49;52.51;44.30;;;VERSION INFORMATION:
IFP 160K_03;474.00;504.00;435.00;482.00;521.00;550.00;518.00;469.00;515.00;566.00;0.29;10.32;0.94;379.17;23.39;10.45;22.98;16.50;10.94;0.33;32.79;408.00;438.00;10.32;13.02;47.31;52.69;44.52;;;
IFP 160K_04;475.00;505.00;434.00;481.00;520.00;550.00;521.00;469.00;515.00;566.00;0.29;10.47;0.94;383.08;23.63;11.12;23.54;16.27;11.11;0.34;32.96;409.00;439.00;10.47;13.19;47.49;52.51;44.30;;;Geoworks V1.6R2
IFP 160K_05;474.00;504.00;434.00;481.00;521.00;550.00;520.00;469.00;514.00;566.00;0.28;10.36;0.94;382.82;23.73;11.20;23.65;16.18;10.99;0.34;32.61;408.00;438.00;10.36;13.09;47.31;52.69;44.52;;;
IFP 160K_06;474.00;504.00;434.00;481.00;521.00;550.00;519.00;469.00;515.00;566.00;0.28;10.35;0.94;381.61;24.05;11.26;23.93;15.95;11.00;0.34;32.71;408.00;438.00;10.35;13.07;47.31;52.69;44.52;;;PARTYsoc V2.0
IFP 160K_07;474.00;505.00;434.00;481.00;520.00;550.00;518.00;470.00;516.00;567.00;0.28;10.31;0.94;378.75;23.62;10.86;23.38;16.20;10.94;0.33;32.83;409.00;439.00;10.31;13.00;47.51;52.49;44.31;;;Cécillon et al,2021
IFP 160K_08;473.00;503.00;434.00;482.00;521.00;550.00;520.00;469.00;515.00;566.00;0.30;10.38;0.94;381.94;23.63;10.86;23.39;16.33;11.03;0.34;32.76;406.00;437.00;10.38;13.14;47.31;52.69;44.52;;;Geosci. https://doi.org/10.5194/gmd-14-3879-2021
IFP 160K_08BIS;478.00;508.00;407.00;463.00;511.00;547.00;520.00;469.00;515.00;566.00;0.07;10.55;0.95;381.73;23.42;10.47;23.02;16.58;11.05;0.33;33.29;409.00;441.00;10.55;13.14;48.52;51.48;42.63;
IFP 160K_09;474.00;504.00;434.00;481.00;521.00;550.00;519.00;470.00;516.00;566.00;0.29;10.31;0.94;378.63;23.55;11.15;23.50;16.11;10.95;0.33;32.84;408.00;438.00;10.31;13.04;47.31;52.69;44.52;
IFP 160K_09BIS;474.00;503.00;434.00;481.00;521.00;550.00;520.00;469.00;515.00;566.00;0.29;10.43;0.94;381.04;24.24;10.64;23.71;16.07;11.08;0.34;32.98;408.00;438.00;10.43;13.18;47.31;52.69;44.52;
IFP 160K_10;474.00;504.00;434.00;482.00;521.00;550.00;520.00;470.00;516.00;566.00;0.29;10.48;0.94;382.98;23.63;10.15;22.98;16.66;11.12;0.34;32.98;408.00;438.00;10.48;13.22;47.31;52.69;44.52;
SOIL_10809;462.00;523.00;349.00;396.00;449.00;515.00;479.00;424.00;474.00;535.00;0.05;1.27;0.55;150.10;210.36;76.21;196.54;0.76;2.30;0.23;10.20;326.00;379.00;1.27;3.20;61.27;38.73;22.25;
SOIL_10810;471.00;525.00;351.00;400.00;454.00;518.00;496.00;434.00;491.00;545.00;0.06;2.05;0.59;175.05;213.63;72.19;196.62;0.89;3.45;0.24;14.13;332.00;389.00;2.05;4.90;51.44;48.56;19.71;
SOIL_10811;467.00;520.00;347.00;394.00;448.00;513.00;483.00;425.00;481.00;540.00;0.07;2.38;0.60;175.60;207.73;66.97;189.35;0.93;3.93;0.24;16.30;327.00;383.00;2.38;5.30;50.73;49.27;22.66;
SOIL_10812;453.00;508.00;343.00;388.00;439.00;509.00;438.00;412.00;456.00;526.00;0.04;1.60;0.66;211.43;181.46;66.44;169.94;1.24;2.41;0.26;9.13;316.00;364.00;1.60;3.03;58.07;41.93;34.12;
SOIL_10813;456.00;516.00;342.00;389.00;442.00;511.00;456.00;414.00;457.00;526.00;0.04;0.93;0.58;164.78;201.95;75.21;189.84;0.87;1.60;0.24;6.79;315.00;367.00;0.93;2.10;66.52;33.48;38.84;
SOIL_10814;461.00;524.00;344.00;391.00;444.00;513.00;473.00;425.00;474.00;536.00;0.05;1.16;0.54;142.49;218.07;74.14;200.96;0.71;2.16;0.22;9.78;321.00;375.00;1.16;2.98;62.34;37.66;23.71;
SOIL_10815;462.00;522.00;345.00;392.00;444.00;512.00;469.00;422.00;471.00;533.00;0.06;1.44;0.57;153.09;204.00;74.46;190.91;0.80;2.54;0.22;11.33;322.00;377.00;1.44;3.42;58.60;41.40;23.49;
SOIL_10816;457.00;514.00;343.00;390.00;441.00;510.00;468.00;419.00;462.00;530.00;0.04;1.16;0.61;177.02;190.75;72.62;180.23;0.98;1.90;0.24;7.88;315.00;369.00;1.16;2.46;62.91;37.09;33.95;
SOIL_10818;451.00;506.00;342.00;386.00;438.00;507.00;452.00;412.00;453.00;524.00;0.04;1.41;0.65;203.61;180.84;64.69;168.49;1.21;2.16;0.26;8.36;313.00;360.00;1.41;2.71;59.72;40.28;37.92;
SOIL_10819;458.00;519.00;344.00;390.00;442.00;510.00;467.00;420.00;467.00;532.00;0.05;1.18;0.57;161.44;206.45;79.68;195.68;0.83;2.07;0.23;8.81;318.00;371.00;1.18;2.72;61.33;38.67;29.95;
SOIL_10823;466.00;529.00;346.00;393.00;446.00;513.00;479.00;426.00;477.00;538.00;0.06;1.34;0.54;142.74;211.90;77.28;198.27;0.72;2.49;0.22;11.34;325.00;381.00;1.34;3.43;59.70;40.30;20.00;
SOIL_10827;468.00;530.00;351.00;399.00;451.00;516.00;487.00;427.00;482.00;541.00;0.06;1.31;0.53;146.68;230.16;79.83;213.01;0.69;2.46;0.23;10.77;329.00;384.00;1.31;3.63;59.57;40.43;18.19;
SOIL_10835;471.00;524.00;345.00;393.00;445.00;511.00;473.00;427.00;476.00;538.00;0.09;2.64;0.60;183.08;225.84;69.61;204.03;0.90;4.38;0.25;17.39;325.00;384.00;2.64;5.87;49.57;50.43;24.84;
SOIL_10835BIS;472.00;524.00;346.00;393.00;446.00;512.00;484.00;426.00;475.00;537.00;0.09;2.57;0.60;178.05;222.01;67.66;200.13;0.89;4.29;0.25;17.40;326.00;385.00;2.57;5.80;50.36;49.64;23.34;
SOIL_10839;466.00;523.00;347.00;395.00;449.00;516.00;473.00;424.00;475.00;536.00;0.05;1.35;0.58;166.54;212.00;78.62;199.11;0.84;2.33;0.24;9.76;323.00;379.00;1.35;3.28;57.89;42.11;24.29;
SOIL_10840;458.00;513.00;346.00;392.00;444.00;512.00;463.00;417.00;470.00;534.00;0.04;1.71;0.66;207.25;191.49;59.89;173.48;1.19;2.59;0.26;9.93;320.00;369.00;1.71;3.39;57.57;42.43;29.42;
SOIL_10844;462.00;521.00;346.00;391.00;443.00;511.00;471.00;418.00;468.00;532.00;0.05;1.48;0.60;174.94;202.45;68.43;186.34;0.94;2.46;0.24;10.23;322.00;374.00;1.48;3.29;57.71;42.29;26.05;
SOIL_10846;462.00;523.00;345.00;392.00;445.00;512.00;460.00;419.00;466.00;532.00;0.05;1.20;0.55;144.05;211.77;71.63;194.95;0.74;2.19;0.22;10.01;323.00;379.00;1.20;3.03;61.39;38.61;23.77;
SOIL_10960;481.00;542.00;359.00;407.00;460.00;522.00;510.00;456.00;505.00;555.00;0.08;1.00;0.44;108.05;240.25;94.07;228.48;0.47;2.29;0.20;11.18;341.00;393.00;1.00;3.64;77.48;22.52;21.44;
SOIL_10961;480.00;544.00;356.00;405.00;457.00;519.00;507.00;454.00;504.00;554.00;0.07;0.98;0.44;106.89;238.60;93.15;226.75;0.47;2.25;0.20;11.09;337.00;391.00;0.98;3.45;75.69;24.31;22.45;
SOIL_10962;481.00;546.00;356.00;404.00;456.00;519.00;505.00;449.00;500.00;552.00;0.07;1.05;0.44;107.11;230.03;92.28;220.03;0.49;2.36;0.20;11.82;338.00;392.00;1.05;3.58;71.49;28.51;22.55;
SOIL_10964;486.00;545.00;358.00;407.00;463.00;525.00;509.00;456.00;506.00;557.00;0.08;1.33;0.49;128.67;242.86;86.34;225.96;0.57;2.72;0.22;12.42;346.00;402.00;1.33;4.38;65.99;34.01;29.53;
SOIL_10965;478.00;540.00;354.00;403.00;457.00;521.00;511.00;455.00;505.00;555.00;0.08;1.06;0.44;107.61;235.50;90.71;223.11;0.48;2.39;0.20;11.87;339.00;391.00;1.06;3.75;74.67;25.33;24.29;
SOIL_10966;487.00;546.00;362.00;416.00;475.00;531.00;503.00;454.00;505.00;558.00;0.08;1.20;0.48;123.59;240.41;83.75;222.70;0.55;2.51;0.21;11.72;345.00;402.00;1.20;4.55;72.58;27.42;25.03;
SOIL_10967;483.00;545.00;356.00;403.00;457.00;521.00;508.00;452.00;503.00;554.00;0.07;1.24;0.48;121.04;228.80;92.89;219.48;0.55;2.60;0.21;12.34;344.00;397.00;1.24;3.94;68.58;31.42;25.33;
SOIL_10970;482.00;545.00;357.00;405.00;458.00;521.00;509.00;452.00;503.00;554.00;0.07;1.01;0.45;107.44;230.47;91.41;219.85;0.49;2.26;0.20;11.29;340.00;394.00;1.01;3.51;76.01;23.99;21.91;
SOIL_10971;487.00;547.00;359.00;409.00;465.00;526.00;515.00;455.00;505.00;556.00;0.08;1.28;0.48;128.09;256.48;85.93;235.63;0.54;2.68;0.22;12.03;346.00;402.00;1.28;4.42;68.53;31.47;28.15;
SOIL_10971BIS;487.00;547.00;360.00;410.00;466.00;525.00;511.00;454.00;505.00;556.00;0.08;1.27;0.47;126.98;256.32;88.06;236.74;0.54;2.68;0.22;12.04;346.00;402.00;1.27;4.41;69.24;30.76;28.23;
SOIL_10974;484.00;542.00;358.00;408.00;462.00;523.00;511.00;455.00;505.00;556.00;0.07;1.44;0.50;131.62;229.28;87.23;216.59;0.61;2.87;0.22;13.18;346.00;402.00;1.44;4.44;64.74;35.26;30.99;
SOIL_10975;474.00;537.00;352.00;400.00;453.00;517.00;500.00;441.00;494.00;548.00;0.07;1.26;0.48;126.57;242.73;89.07;227.43;0.56;2.61;0.22;11.98;335.00;391.00;1.26;3.92;60.83;39.17;13.46;
SOIL_10976;485.00;542.00;360.00;411.00;466.00;526.00;508.00;454.00;504.00;555.00;0.09;1.41;0.49;131.94;250.23;83.78;229.86;0.57;2.88;0.22;12.90;346.00;402.00;1.41;4.79;64.91;35.09;30.65;
SOIL_10977;483.00;546.00;360.00;408.00;460.00;522.00;515.00;458.00;507.00;557.00;0.07;0.83;0.41;99.72;244.79;103.11;236.95;0.42;2.04;0.20;10.07;341.00;394.00;0.83;3.25;79.08;20.92;19.54;
SOIL_10981;482.00;545.00;357.00;405.00;458.00;520.00;507.00;450.00;502.00;553.00;0.07;0.88;0.43;101.94;237.83;95.81;227.72;0.45;2.07;0.20;10.45;339.00;393.00;0.88;3.22;76.03;23.97;21.32;
SOIL_10982;485.00;546.00;357.00;405.00;458.00;521.00;508.00;451.00;503.00;553.00;0.08;1.25;0.47;120.47;242.83;88.46;227.15;0.53;2.66;0.21;12.50;345.00;398.00;1.25;4.17;66.51;33.49;27.83;
SOIL_10983;483.00;545.00;355.00;402.00;455.00;518.00;506.00;451.00;502.00;552.00;0.07;1.15;0.46;115.18;234.15;94.88;224.51;0.51;2.51;0.21;12.03;342.00;396.00;1.15;3.72;66.48;33.52;22.18;
SOIL_10984;491.00;553.00;360.00;408.00;462.00;523.00;507.00;455.00;507.00;556.00;0.09;1.20;0.46;109.86;231.94;84.50;216.97;0.51;2.63;0.20;13.19;346.00;401.00;1.20;4.21;72.80;27.20;26.74;
SOIL_10989;485.00;548.00;360.00;408.00;462.00;523.00;509.00;454.00;505.00;556.00;0.07;0.86;0.42;105.13;250.28;96.89;237.39;0.44;2.04;0.21;9.91;341.00;395.00;0.86;3.34;78.64;21.36;21.26;
SOIL_11074;477.00;534.00;354.00;405.00;459.00;521.00;494.00;440.00;495.00;548.00;0.12;2.28;0.51;137.71;256.62;74.41;229.16;0.60;4.49;0.23;19.92;343.00;399.00;2.28;6.87;58.05;41.95;30.75;
SOIL_11075;476.00;534.00;348.00;397.00;451.00;515.00;486.00;434.00;490.00;547.00;0.14;2.97;0.53;144.74;247.78;72.20;221.46;0.65;5.62;0.23;24.74;336.00;394.00;2.97;7.98;52.14;47.86;20.17;
SOIL_11076;474.00;531.00;351.00;400.00;453.00;516.00;478.00;427.00;483.00;540.00;0.13;2.71;0.51;139.27;262.80;70.72;231.54;0.60;5.31;0.23;23.47;340.00;396.00;2.71;7.85;52.56;47.44;21.24;
SOIL_11077;470.00;526.00;349.00;398.00;452.00;515.00;464.00;425.00;478.00;535.00;0.14;3.25;0.51;139.90;270.85;67.40;235.49;0.59;6.38;0.23;27.95;339.00;393.00;3.25;9.36;52.09;47.91;22.44;
SOIL_11077BIS;471.00;529.00;350.00;400.00;453.00;516.00;466.00;424.00;478.00;535.00;0.15;3.21;0.51;139.49;268.58;68.38;234.40;0.60;6.30;0.23;27.71;341.00;395.00;3.21;9.29;52.14;47.86;22.51;
SOIL_11078;469.00;529.00;349.00;399.00;452.00;515.00;471.00;425.00;479.00;537.00;0.12;2.07;0.46;125.47;290.01;74.05;253.23;0.50;4.47;0.22;19.89;336.00;392.00;2.07;6.80;54.22;45.78;22.87;
SOIL_11080;477.00;533.00;348.00;397.00;451.00;516.00;493.00;436.00;491.00;549.00;0.14;3.51;0.57;162.77;235.09;73.11;212.75;0.77;6.20;0.24;25.95;335.00;395.00;3.51;8.64;51.34;48.66;22.21;
SOIL_11090;473.00;522.00;359.00;412.00;466.00;524.00;505.00;444.00;500.00;555.00;0.11;2.69;0.59;171.37;227.76;62.66;201.46;0.85;4.58;0.24;18.91;337.00;396.00;2.69;7.18;52.18;47.82;31.49;
SOIL_11091;474.00;525.00;357.00;409.00;464.00;524.00;481.00;436.00;491.00;546.00;0.11;2.82;0.59;178.72;231.04;69.39;207.68;0.86;4.79;0.25;19.04;337.00;395.00;2.82;7.31;51.75;48.25;32.52;
SOIL_11092;466.00;508.00;348.00;397.00;450.00;513.00;481.00;429.00;479.00;539.00;0.06;1.69;0.65;205.15;197.53;70.70;184.06;1.11;2.62;0.26;9.94;340.00;399.00;1.69;3.39;57.45;42.55;27.41;
SOIL_11095;470.00;518.00;357.00;410.00;465.00;524.00;487.00;439.00;497.00;547.00;0.14;3.17;0.58;178.67;240.99;71.41;216.07;0.83;5.46;0.26;21.40;340.00;397.00;3.17;8.22;51.89;48.11;33.04;
SOIL_11096;461.00;524.00;350.00;400.00;453.00;517.00;490.00;431.00;482.00;540.00;0.05;0.80;0.49;130.94;232.96;85.99;218.56;0.60;1.63;0.22;7.38;324.00;380.00;0.80;2.40;72.15;27.85;29.14;
SOIL_11100;464.00;526.00;346.00;393.00;445.00;512.00;475.00;425.00;474.00;535.00;0.06;1.28;0.53;141.49;219.33;78.08;204.13;0.69;2.41;0.22;10.91;324.00;380.00;1.28;3.34;60.06;39.94;18.90;
