id,batch_number,TCaCO3,TOC_CHN,TOCre6,MINC,rock_eval_toc_yield,carbonate_class,broad_texture_class,toc_class
966,200904 GB Soils,670.5,6.538258215352641,9.89,7.72,1.5126352729197898,carbonated,clay,low
1029,200904 GB Soils,414.3,6.082923756331986,12.7,4.34,2.0878118004980757,carbonated,loam,low
1050,200904 GB Soils,452.2,6.534825301987269,10.5,5.19,1.6067759296957647,carbonated,clay,low
1071,200904 GB Soils,4.6,10.04798805039616,8.65,0.16,0.8608688581848939,not_carbonated,sand,middle
1085,200904 GB Soils,283.4,12.39126380049357,15.09,3.01,1.2177934585977366,carbonated,sand,middle
1092,200904 GB Soils,198.1,16.72748538771269,15.82,2.31,0.9457488458857486,carbonated,sand,high
1099,200904 GB Soils,137.8,13.06364203143266,19.29,2.73,1.4766173134249996,carbonated,loam,low
1127,200904 GB Soils,641.8,6.882332770489684,14.16,7.03,2.0574419273528535,carbonated,clay,low
1155,200904 GB Soils,47.8,11.66387582802962,10.02,0.7,0.859062643304278,carbonated,clay,low
1176,200904 GB Soils,272.6,15.48729185608521,15.0,3.38,0.9685360190397816,carbonated,clay,middle
1303,200904 GB Soils,544.7,6.634585011040387,12.01,6.0,1.8102111857809597,carbonated,clay,low
1563,200904 GB Soils,67.9,18.85182361345629,15.78,1.1,0.8370542990194516,carbonated,clay,middle
1570,200904 GB Soils,0.0,14.8,12.77,0.17,0.8628378378378377,not_carbonated,clay,middle
1627,200904 GB Soils,3.4,39.09199116768411,34.46,0.26,0.8815104825994845,not_carbonated,clay,high
721,200916 GB Soils,0.0,10.9,9.56,0.13,0.8770642201834863,not_carbonated,clay,low
863,200916 GB Soils,0.0,9.7,8.67,0.13,0.8938144329896908,not_carbonated,clay,low
1617,200916 GB Soils,2.9,33.7519924665541,29.7,0.24,0.8799480513463214,not_carbonated,clay,high
791,201202 GB Soils,0.0,17.5,15.06,0.24,0.8605714285714287,not_carbonated,clay,middle
2919,201202 GB Soils,45.0,16.59988310170152,14.06,0.67,0.8469939163944368,carbonated,silt,middle
2939,201202 GB Soils,243.0,19.53936874918821,19.64,3.13,1.0051501792152815,carbonated,silt,middle
3018,201202 GB Soils,0.0,12.6,12.58,0.11,0.9984126984126984,not_carbonated,silt,middle
3366,201202 GB Soils,22.0,13.55994284972074,12.99,0.41,0.9579686392459629,carbonated,silt,low
3743,201202 GB Soils,709.0,13.51815820236394,13.0,8.51,0.9616694674964428,carbonated,silt,low
2573,201217 GB Soils,102.0,26.97573503052345,25.1,1.46,0.9304658416758237,carbonated,silt,high
2580,201217 GB Soils,162.0,21.32357916612547,18.48,2.04,0.8666462537094727,carbonated,silt,high
2601,201217 GB Soils,74.0,24.2198077672425,20.9,1.06,0.8629300529902401,carbonated,silt,high
2635,201217 GB Soils,215.0,23.71744148590727,19.47,2.65,0.8209148533820113,carbonated,silt,high
2670,201217 GB Soils,371.0,19.80403623847253,18.35,4.54,0.9265787932841776,carbonated,silt,middle
2712,201217 GB Soils,4.0,35.43998960904014,19.16,1.55,0.5406322126887027,not_carbonated,silt,high
2732,201217 GB Soils,123.0,21.71068047798415,19.66,1.56,0.9055450850532458,carbonated,silt,high
2746,201217 GB Soils,250.0,21.07235056500844,18.93,2.99,0.8983335742066713,carbonated,silt,middle
2753,201217 GB Soils,62.0,21.68383894012209,18.0,0.89,0.8301113123790179,carbonated,silt,high
2822,201217 GB Soils,196.0,25.99549084296662,20.8,2.35,0.8001387673596354,carbonated,silt,high
3095,201217 GB Soils,370.0,19.5400388362125,18.84,4.5,0.9641741328110794,carbonated,silt,middle
3109,201217 GB Soils,273.0,18.67629081698922,18.9,3.4,1.0119782447812002,carbonated,silt,middle
3231,201217 GB Soils,123.0,20.70568047798415,13.31,2.04,0.642818767253373,carbonated,silt,middle
3303,201217 GB Soils,42.0,17.84089089492142,13.53,0.61,0.7583702002152507,carbonated,silt,middle
3341,201217 GB Soils,96.0,18.10875061696324,16.62,1.35,0.9177883307107526,carbonated,silt,middle
3533,201217 GB Soils,164.0,19.82257397064554,17.21,2.06,0.8682020824079458,carbonated,silt,middle
3547,201217 GB Soils,198.0,21.09448564748668,16.4,2.41,0.7774543676514809,carbonated,silt,high
3656,201217 GB Soils,21.0,12.35594544746071,10.32,0.33,0.8352254421875001,carbonated,sand,low
4100,201217 GB Soils,81.0,17.57678958306273,14.41,1.05,0.8198311717792709,carbonated,silt,middle
26301,20221222_51_VIN_02,1.0,8.71999740226003,7.36,0.77,0.8440369486913437,not_carbonated,silt,low
26302,20221222_51_VIN_02,564.0,14.6185348746591,9.94,74.16,0.6799587021015878,carbonated,loam,middle
26303,20221222_51_VIN_02,381.0,17.9790102610729,12.77,52.49,0.7102726910195304,carbonated,silt,middle
4883,210528 GB Soils,35.0,30.19990907910118,29.16,0.63,0.9655658208646458,carbonated,clay,high
5639,210528 GB Soils,1.0,9.079997402260034,8.72,0.12,0.9603526976593155,not_carbonated,sand,middle
5653,210528 GB Soils,1.0,10.17999740226004,9.59,0.16,0.9420434623952796,not_carbonated,sand,middle
6003,210528 GB Soils,1.0,32.77999740226003,28.41,0.35,0.8666870729538637,not_carbonated,loam,high
5066,210616 GB Soils,1.0,13.87999740226004,12.38,0.12,0.8919310026660524,not_carbonated,silt,middle
5162,210616 GB Soils,3.0,17.0399922067801,16.25,0.13,0.9536389337979999,not_carbonated,sand,high
5172,210616 GB Soils,592.0,11.65846213793999,15.75,7.26,1.3509500492989523,carbonated,clay,low
5540,210616 GB Soils,422.0,17.85890375373425,19.81,5.19,1.1092506165647362,carbonated,silt,middle
5547,210616 GB Soils,63.0,11.23983634238213,10.93,0.9,0.9724340877443359,carbonated,silt,low
5554,210616 GB Soils,1.0,14.37999740226004,14.18,0.15,0.9860919722955855,not_carbonated,silt,middle
5795,210616 GB Soils,1.0,11.67999740226003,11.85,0.11,1.0145550201669629,not_carbonated,silt,middle
5810,210616 GB Soils,1.0,14.07999740226003,13.0,0.11,0.9232956248921839,not_carbonated,silt,middle
6301,210616 GB Soils,176.0,7.579542797765943,5.95,2.43,0.7850077714125121,carbonated,loam,low
6336,210616 GB Soils,27.0,12.85992986102091,11.6,0.47,0.9020266926307412,carbonated,loam,low
5296,210624 GB Soils,1.0,18.57999740226004,16.42,0.12,0.8837460869613846,not_carbonated,silt,high
5568,210624 GB Soils,1.0,13.07999740226003,12.07,0.08,0.9227830578861187,not_carbonated,silt,middle
5582,210624 GB Soils,5.0,30.09998701130017,26.3,0.18,0.8737545298649606,not_carbonated,clay,high
6406,210624 GB Soils,22.0,17.95994284972074,8.48,0.4,0.47216185880746586,carbonated,clay,middle
6925,210803 GB Soils,1.0,12.38929334265924,10.17,0.13,0.8208700624580667,not_carbonated,clay,low
6961,210803 GB Soils,1.0,14.80162683112354,12.56,0.17,0.8485553745747699,not_carbonated,clay,middle
7010,210803 GB Soils,121.872444399086,15.24371442535098,13.22,1.58,0.8672426963086207,carbonated,silt,middle
7356,210910 GB Soils,1.0,10.54999740226003,9.13,0.12,0.8654030566911954,not_carbonated,loam,low
9149,211025 GB Soils,2.0,7.159994804520068,6.46,0.08,0.9022352915566133,not_carbonated,sand,low
9248,211025 GB Soils,1.0,9.479997402260034,7.91,0.14,0.8343884142957944,not_carbonated,loam,low
9249,211025 GB Soils,2.0,9.959994804520068,8.74,0.14,0.8775104979004199,not_carbonated,loam,low
9255,211025 GB Soils,2.0,8.459994804520067,7.1,0.11,0.8392440142169545,not_carbonated,silt,low
9343,211210 GB Soils,354.0,27.51908040005195,27.22,4.28,0.9891318897396227,carbonated,clay,high
9365,211210 GB Soils,61.3,16.94384075854007,14.85,0.94,0.8764246673243357,carbonated,clay,middle
9371,211210 GB Soils,151.1,18.56760748149111,17.0,1.99,0.9155729954409172,carbonated,loam,middle
9409,211210 GB Soils,199.1,25.60748278997272,15.04,2.49,0.5873283259957633,carbonated,loam,high
9411,211210 GB Soils,239.2,29.99537862060008,30.61,2.76,1.0204905357979983,carbonated,clay,high
9664,211210 GB Soils,4.5,15.15998831017015,13.36,0.15,0.8812671703076038,not_carbonated,sand,high
10048,211210 GB Soils,130.5,20.6396609949344,18.21,1.87,0.8822819330447961,carbonated,clay,middle
10091,211210 GB Soils,200.4,20.15147941291077,18.87,2.5,0.9364076757516004,carbonated,clay,middle
10163,211210 GB Soils,159.6,21.94758540070139,18.41,2.22,0.8388166472021867,carbonated,loam,high
10180,211210 GB Soils,132.7,65.67565527990648,24.98,1.97,0.3803540275850533,carbonated,clay,high
9366,211213 GB Soils,357.077805752367,29.9497357144289,26.86,4.79,0.8968359606278477,carbonated,clay,high
9666,211213 GB Soils,7.54803796001815,25.79421583695795,22.57,0.38,0.8750023704020382,not_carbonated,loam,high
10044,211213 GB Soils,92.8476011429289,32.85804666892427,22.76,1.53,0.6926765985004651,carbonated,loam,high
10099,211213 GB Soils,137.277177820055,33.12638205118213,26.38,2.04,0.7963441331818674,carbonated,clay,high
10161,211213 GB Soils,121.227430825283,23.35239338362398,18.25,1.74,0.7815044779434871,carbonated,silt,high
10164,211213 GB Soils,129.682294684128,30.03778775702483,21.98,1.98,0.7317449666332241,carbonated,silt,high
10332,211213 GB Soils,209.383259258581,22.97346496570945,17.39,2.89,0.7569602594104365,carbonated,silt,high
10333,211213 GB Soils,180.06056537654,14.89226440428818,11.38,2.46,0.7641551137598098,carbonated,sand,middle
10491,211213 GB Soils,244.897587788304,27.71165328515209,17.99,3.05,0.6491853739249489,carbonated,clay,high
10274,211220 GB Soils,115.0,29.69970125990388,26.35,1.58,0.8872143113295841,carbonated,loam,high
10300,211220 GB Soils,428.0,47.43888816729445,42.46,5.42,0.8950462719586455,carbonated,clay,high
10334,211220 GB Soils,129.0,16.41966489154436,15.03,1.58,0.9153658189297154,carbonated,sand,high
10336,211220 GB Soils,127.0,15.45967008702429,13.15,1.63,0.8506002990993413,carbonated,sand,middle
10337,211220 GB Soils,174.0,20.41954799324587,16.62,2.41,0.8139259500502832,carbonated,loam,middle
9134,220119 GB Soils,2.0,10.25999480452007,7.77,0.1,0.7573103250088298,not_carbonated,sand,middle
9281,220128 GB Soils,4.0,6.019989609040135,5.58,0.06,0.9269118989209868,not_carbonated,sand,low
10149,220128 GB Soils,1.0,13.87999740226003,12.26,0.12,0.8832854679067699,not_carbonated,loam,middle
10520,220128 GB Soils,4.0,10.21998960904013,9.41,0.1,0.9207445760684874,not_carbonated,loam,low
10522,220128 GB Soils,1.0,10.47999740226003,9.58,0.08,0.9141223639935308,not_carbonated,silt,low
10535,220128 GB Soils,52.0,2.959864917521755,17.0,0.75,5.743505353694929,carbonated,clay,low
10540,220128 GB Soils,1.0,16.57999740226003,7.9,0.06,0.47647775861069475,not_carbonated,silt,high
11030,220129 GB Soils,189.950070323488,12.00549812029217,11.69,2.39,0.9737205306159764,carbonated,silt,low
11515,220129 GB Soils,410.198277412945,16.47514112198728,14.61,5.05,0.8867905829651368,carbonated,loam,middle
17932,220129 GB Soils,47.6117162835255,25.28647036311869,23.65,0.78,0.9352827682306525,carbonated,loam,high
17955,220129 GB Soils,314.506732714289,11.8583750675761,13.46,3.63,1.135062765623189,carbonated,silt,low
17977,220129 GB Soils,162.858596011092,23.85654541438526,23.4,2.04,0.9808628866227225,carbonated,loam,high
11043,220214 GB Soils,38.0,11.33990128588128,9.24,0.57,0.814821907797755,carbonated,loam,low
11056,220214 GB Soils,20.2276224282817,12.37263276250299,10.97,0.37,0.8866342524322014,carbonated,loam,low
11059,220214 GB Soils,143.138773903495,14.02297529426691,14.26,1.74,1.0169025973988555,carbonated,loam,middle
11227,220214 GB Soils,20.184083221384,9.577857580434255,8.6,0.33,0.8979043515502013,carbonated,sand,low
11229,220214 GB Soils,242.0,12.95937134692817,12.99,3.02,1.0023634366399332,carbonated,loam,low
17919,220214 GB Soils,1.0,13.17999740226004,10.62,0.1,0.8057664714090865,not_carbonated,sand,high
17920,220214 GB Soils,226.681562902414,13.99762359195477,13.74,2.73,0.9815951907648923,carbonated,loam,low
17967,220214 GB Soils,5.93371670534925,16.48793858110506,14.6,0.2,0.8854957779095193,not_carbonated,clay,middle
17981,220214 GB Soils,204.0,15.61947006104689,15.31,2.43,0.9801869039194441,carbonated,loam,middle
17983,220214 GB Soils,144.0,28.71962592544486,25.51,1.9,0.8882427670270868,carbonated,loam,high
17986,220214 GB Soils,305.0,13.9992076893103,13.76,3.71,0.9829127694495913,carbonated,loam,middle
17988,220214 GB Soils,5.0,20.59998701130017,19.19,0.27,0.9315539854211211,not_carbonated,clay,middle
17996,220214 GB Soils,124.656718791796,14.94086991924402,13.55,1.65,0.9069083710144238,carbonated,silt,low
18000,220214 GB Soils,284.0,14.51926224184959,16.99,3.58,1.1701696489115596,carbonated,silt,low
18022,220214 GB Soils,363.771249428645,17.34650508544939,18.12,4.55,1.04459082165199,carbonated,loam,middle
10228,220216 GB Soils,0.0,10.7,9.25,0.1,0.8644859813084113,not_carbonated,silt,low
10639,220216 GB Soils,50.3286031058832,11.66043688667028,10.1,0.75,0.8661768077957606,carbonated,silt,low
10660,220216 GB Soils,1.84363116586228,10.97875947082216,10.08,0.1,0.9181365186831209,not_carbonated,silt,low
10790,220216 GB Soils,43.9346221391131,16.6277312125826,15.34,0.68,0.9225552063526176,carbonated,clay,middle
11222,220216 GB Soils,461.0,16.67880244187557,10.46,5.68,0.6271433477584708,carbonated,loam,middle
11241,220216 GB Soils,582.0,14.85848811533965,10.09,7.36,0.6790731278765338,carbonated,clay,low
11266,220216 GB Soils,450.0,24.1988310170152,21.01,5.79,0.8682237578016476,carbonated,loam,high
11277,220216 GB Soils,93.0,17.13975841018314,16.2,1.3,0.9451708485211315,carbonated,loam,middle
11278,220216 GB Soils,434.0,18.01887258085465,15.58,5.47,0.864648991222348,carbonated,clay,middle
11500,220216 GB Soils,199.0,23.51948304974672,17.21,2.62,0.7317337699811958,carbonated,loam,high
11506,220216 GB Soils,556.0,22.57855565657877,16.63,7.06,0.7365395844155547,carbonated,loam,high
11520,220216 GB Soils,20.4330477214141,10.14798119368561,8.24,0.37,0.8119841614534313,carbonated,clay,low
11587,220216 GB Soils,274.0,17.21928821924926,16.29,3.56,0.9460321351604755,carbonated,clay,middle
10725,220222 GB Soils,6.0,41.1799844135602,17.77,0.24,0.4315203187436977,not_carbonated,clay,high
10742,220222 GB Soils,81.0,19.57978958306273,17.85,1.24,0.9116543323550799,carbonated,loam,middle
11125,220222 GB Soils,383.0,24.43900506559294,22.95,4.89,0.939072598839579,carbonated,clay,high
10810,220228 GB Soils,60.0,16.29984413560203,14.13,0.87,0.8668794549475067,carbonated,sand,high
10818,220228 GB Soils,1.0,8.979997402260034,8.36,0.07,0.9309579530497417,not_carbonated,sand,low
10961,220228 GB Soils,3.0,12.0399922067801,11.09,0.15,0.921096941720184,not_carbonated,clay,low
10962,220228 GB Soils,4.0,12.81998960904014,11.82,0.15,0.9219976271794332,not_carbonated,clay,low
10966,220228 GB Soils,194.0,12.41949603844655,11.72,2.36,0.9436775827069677,carbonated,silt,low
10970,220228 GB Soils,5.0,12.79998701130017,11.29,0.17,0.8820321450352165,not_carbonated,clay,low
10983,220228 GB Soils,1.0,13.37999740226003,12.03,0.14,0.8991033135752328,not_carbonated,clay,low
11330,220228 GB Soils,2.0,50.15999480452007,45.25,0.39,0.9021133310787821,not_carbonated,clay,high
11332,220228 GB Soils,0.0,47.5,41.1,0.35,0.8652631578947368,not_carbonated,clay,high
11338,220228 GB Soils,69.0,38.51982075594233,32.6,1.13,0.8463175414691125,carbonated,clay,high
11340,220228 GB Soils,8.0,31.53997921808027,26.95,0.37,0.854471076650264,not_carbonated,clay,high
11355,220228 GB Soils,273.0,26.63929081698922,21.87,3.67,0.8209678009165469,carbonated,clay,high
11367,220228 GB Soils,41.0,30.07989349266138,25.2,0.8,0.8377689238210922,carbonated,silt,high
11422,220228 GB Soils,1.0,14.47999740226003,9.39,0.09,0.6484807793221299,not_carbonated,silt,middle
11426,220228 GB Soils,1.0,15.17999740226004,10.76,0.12,0.7088275257806053,not_carbonated,loam,middle
11437,220228 GB Soils,1.0,12.87999740226003,8.82,0.1,0.6847827468080367,not_carbonated,silt,middle
11701,220228 GB Soils,0.0,12.0,7.99,0.08,0.6658333333333334,not_carbonated,loam,middle
11702,220228 GB Soils,100.0,26.19974022600338,17.48,1.43,0.6671821876558535,carbonated,loam,high
11716,220228 GB Soils,1.0,7.979997402260033,7.39,0.09,0.926065464370585,not_carbonated,loam,low
11741,220228 GB Soils,1.0,9.379997402260036,0.6,0.13,0.06396590257641593,not_carbonated,sand,middle
23700,220228 GB Soils,3.0,16.5399922067801,15.09,0.17,0.9123341662648597,not_carbonated,clay,middle
11604,220308 GB Soils,268.0,11.13930380568905,13.57,3.07,1.2182089865499088,carbonated,silt,low
11761,220308 GB Soils,110.0,13.19971424860371,14.25,1.26,1.0795688248711437,carbonated,clay,low
11762,220308 GB Soils,119.0,13.11969086894402,13.64,1.52,1.0396586425894851,carbonated,loam,low
11767,220308 GB Soils,332.0,13.45913755033121,17.91,3.65,1.330694476746711,carbonated,loam,low
11769,220308 GB Soils,225.0,10.1994155085076,14.87,2.27,1.4579266809550548,carbonated,loam,low
11781,220308 GB Soils,170.0,15.59955838420574,16.5,1.89,1.0577222504392139,carbonated,clay,middle
17893,220308 GB Soils,6.0,19.1799844135602,17.6,0.2,0.9176232691595332,not_carbonated,clay,middle
18078,220316 GB Soils,2.0,7.259994804520067,6.68,0.08,0.9201108512971713,not_carbonated,sand,low
18079,220316 GB Soils,2.0,8.259994804520067,7.19,0.09,0.870460595939535,not_carbonated,sand,low
18154,220316 GB Soils,208.0,22.83945967008702,23.18,2.56,1.0149101745326745,carbonated,loam,high
18201,220316 GB Soils,151.0,22.5796077412651,21.44,2.02,0.9495293384046516,carbonated,silt,high
18249,220316 GB Soils,346.0,13.07910118197169,13.35,4.25,1.0207123420989905,carbonated,silt,low
18254,220316 GB Soils,470.0,11.79877906221588,13.51,5.58,1.1450337300800972,carbonated,silt,low
18263,220316 GB Soils,6.0,19.6799844135602,18.27,0.22,0.9283543937875951,not_carbonated,loam,high
18266,220316 GB Soils,3.0,8.739992206780101,8.17,0.1,0.9347834422165815,not_carbonated,sand,low
18269,220316 GB Soils,131.0,16.47965969606443,16.56,1.69,1.0048751191115162,carbonated,clay,middle
18321,220316 GB Soils,3.0,6.539992206780101,6.24,0.09,0.9541295773305212,not_carbonated,sand,low
18566,220316 GB Soils,3.0,11.6399922067801,15.99,0.17,1.3737122599348557,not_carbonated,loam,middle
18605,220316 GB Soils,49.0,13.81987271074165,12.84,0.74,0.9290968353145516,carbonated,loam,low
18655,220404 GB Soils,91.0,12.47976360566307,14.02,1.19,1.1234187155306372,carbonated,clay,low
18663,220404 GB Soils,2.0,12.35999480452007,12.89,0.12,1.0428806972706903,not_carbonated,loam,middle
18664,220404 GB Soils,234.0,6.819392128847902,13.25,2.61,1.9429884291224229,carbonated,loam,low
18667,220404 GB Soils,1.0,8.879997402260035,9.18,0.09,1.0337840862052068,not_carbonated,sand,low
22249,220404 GB Soils,42.0,11.35989089492142,11.57,0.67,1.0184956974518578,carbonated,loam,low
22334,220404 GB Soils,25.0,13.29993505650084,11.47,0.48,0.8624102261607368,carbonated,loam,low
22918,220404 GB Soils,194.0,28.21949603844655,25.56,2.5,0.9057567847837104,carbonated,loam,high
23576,220404 GB Soils,2.0,21.95999480452007,19.17,0.17,0.8729510262021648,not_carbonated,silt,high
24185,220404 GB Soils,1.0,18.17999740226004,16.09,0.17,0.8850386303135432,not_carbonated,silt,high
11623,220419 GB Soils,1.0,13.57999740226003,11.74,0.13,0.8645067927661156,not_carbonated,loam,middle
18053,220419 GB Soils,1.0,14.47999740226003,8.93,0.09,0.6167128178217912,not_carbonated,loam,middle
18063,220419 GB Soils,1.0,15.47999740226003,10.29,0.1,0.6647287937204494,not_carbonated,loam,middle
18302,220419 GB Soils,1.0,16.87999740226003,11.8,0.09,0.6990522402817504,not_carbonated,sand,high
18305,220419 GB Soils,14.0,35.61996363164047,20.63,0.32,0.5791695975139851,,loam,
18307,220419 GB Soils,9.0,31.01997662034031,18.03,0.24,0.581238349102347,,loam,
22241,220419 GB Soils,12.0,22.2599688271204,10.41,0.29,0.4676556414273587,,loam,
22242,220419 GB Soils,15.0,22.19996103390051,11.66,0.4,0.5252261471177614,,loam,
22243,220419 GB Soils,3.0,18.1399922067801,10.92,0.11,0.6019848231201821,not_carbonated,loam,high
22244,220419 GB Soils,2.0,16.25999480452007,10.1,0.1,0.6211564100372485,not_carbonated,loam,high
22703,220419 GB Soils,1.0,13.87999740226003,8.32,0.1,0.5994237433103039,not_carbonated,sand,high
22704,220419 GB Soils,1.0,20.57999740226003,12.32,0.13,0.598639531346445,not_carbonated,sand,high
22705,220419 GB Soils,3.0,19.0399922067801,12.19,0.19,0.6402313544886414,not_carbonated,loam,high
22706,220419 GB Soils,2.0,13.05999480452007,8.18,0.08,0.6263402185404314,not_carbonated,sand,middle
22707,220419 GB Soils,2.0,15.05999480452007,10.12,0.15,0.6719789834829563,not_carbonated,sand,high
22805,220419 GB Soils,1.0,10.67999740226004,9.44,0.09,0.8838953460796124,not_carbonated,silt,low
22875,220419 GB Soils,2.0,10.05999480452007,11.02,0.09,1.0954280011206952,not_carbonated,loam,low
22928,220419 GB Soils,1.0,17.17999740226004,9.49,0.08,0.5523865794503313,not_carbonated,silt,high
22931,220419 GB Soils,2.0,20.85999480452007,8.93,0.08,0.4280921488084452,not_carbonated,silt,high
23070,220419 GB Soils,27.0,19.15992986102091,9.71,0.42,0.5067868238784157,carbonated,loam,middle
23074,220419 GB Soils,14.0,24.11996363164047,16.0,0.36,0.663350917287921,,loam,
23081,220419 GB Soils,33.0,40.43991427458111,10.54,0.49,0.2606335890930663,carbonated,loam,high
23087,220419 GB Soils,195.0,13.79949344070659,13.43,2.42,0.9732241301251946,carbonated,clay,low
23139,220419 GB Soils,105.0,30.49972723730355,27.35,1.54,0.8967293309609935,carbonated,clay,high
23184,220419 GB Soils,120.0,11.09968827120405,10.24,1.54,0.9225484310731193,carbonated,silt,low
23187,220419 GB Soils,90.0,9.599766203403036,8.51,1.17,0.8864799224988705,carbonated,loam,low
23195,220419 GB Soils,2.0,11.05999480452007,10.46,0.1,0.9457508963498916,not_carbonated,loam,low
23207,220419 GB Soils,2.0,12.25999480452007,11.0,0.14,0.8972271338927867,not_carbonated,loam,middle
23234,220419 GB Soils,190.0,21.69950642940642,19.23,2.39,0.886195271886008,carbonated,silt,high
22299,220420 GB Soils,2.0,8.859994804520067,7.81,0.08,0.8814903588900079,not_carbonated,silt,low
22305,220420 GB Soils,2.0,11.95999480452007,10.75,0.09,0.8988298218940051,not_carbonated,silt,middle
23164,220420 GB Soils,136.0,14.97964670736459,12.6,1.88,0.8411413330466158,carbonated,silt,low
23166,220420 GB Soils,67.0,15.15982595142226,12.57,1.02,0.8291651922838014,carbonated,silt,middle
23294,220420 GB Soils,1.0,16.47999740226004,15.29,0.14,0.9277914083835447,not_carbonated,loam,high
23298,220420 GB Soils,9.0,12.0199766203403,11.17,0.21,0.9292863333110014,,loam,
23686,220420 GB Soils,3.0,11.1399922067801,10.31,0.12,0.9254943637864537,not_carbonated,loam,low
23694,220420 GB Soils,1.0,10.67999740226004,9.56,0.11,0.89513130386876,not_carbonated,loam,low
23762,220420 GB Soils,4.0,11.01998960904013,10.03,0.16,0.9101641975934349,not_carbonated,silt,low
23785,220420 GB Soils,75.0,16.49980516950253,15.09,1.1,0.9145562535424147,carbonated,clay,middle
23792,220420 GB Soils,114.0,15.41970385764385,14.45,1.57,0.9371126795562194,carbonated,loam,middle
23813,220420 GB Soils,242.0,20.15937134692818,18.04,3.22,0.8948691747150577,carbonated,silt,middle
23820,220420 GB Soils,172.0,24.55955318872581,20.97,2.58,0.8538428952211714,carbonated,clay,high
24233,220422 GB Soils,10.0,19.99997402260034,13.9,0.43,0.6950009027158107,,loam,
24242,220422 GB Soils,20.0,11.59994804520068,9.68,0.34,0.8344864961705555,carbonated,sand,low
24248,220422 GB Soils,624.0,13.31837901026107,14.74,7.58,1.1067412925134246,carbonated,clay,low
24267,220422 GB Soils,21.0,14.37994544746071,12.61,0.38,0.8769157050054556,carbonated,sand,middle
24268,220422 GB Soils,519.0,28.31865177295752,26.87,6.66,0.9488446065663024,carbonated,clay,high
24270,220422 GB Soils,636.0,17.57834783738149,11.83,8.69,0.6729870241185433,carbonated,clay,middle
24286,220422 GB Soils,612.0,19.64841018314067,12.65,8.56,0.6438179925037569,carbonated,clay,middle
24307,220422 GB Soils,451.0,14.78882841927523,14.9,5.8,1.0075172676004458,carbonated,loam,middle
24349,220422 GB Soils,1.0,11.32999740226003,9.04,0.09,0.7978819128587586,not_carbonated,sand,middle
24352,220422 GB Soils,414.0,24.53892453565398,24.8,5.4,1.0106392382423561,carbonated,loam,high
24375,220422 GB Soils,5.0,12.17998701130017,11.36,0.19,0.9326775134867209,not_carbonated,loam,middle
24309,220427 GB Soils,256.0,19.99533497856865,16.82,3.5,0.8411962099173618,carbonated,clay,middle
24310,220427 GB Soils,535.0,17.65761020911806,11.21,7.29,0.6348537467551166,carbonated,loam,middle
24318,220427 GB Soils,438.0,11.76286218989479,10.62,5.53,0.9028414877735627,carbonated,clay,low
24334,220427 GB Soils,794.0,10.99893739446682,10.25,10.1,0.9319082046195132,carbonated,clay,low
24351,220427 GB Soils,150.0,14.57761033900507,11.66,2.1,0.7998567480433698,carbonated,loam,middle
24400,220427 GB Soils,8.0,11.19497921808027,10.1,0.2,0.9021901517859147,not_carbonated,loam,low
24412,220427 GB Soils,264.0,24.70931419664891,21.56,3.55,0.8725454631567223,carbonated,loam,high
24617,,,,7.998,70.478,,,,
24618,,,,18.422,79.4,,,,
24619,,,,26.554,58.032,,,,
