,id,TCaCO3,TC_CaCO3,TC_CHN,TOC_CHN,TOC_re6,Cstable_TOC_re6_ratio,Cstable_re6_corrCHN,Cactive_AMG_re6_corrCHN,clay_sed,sand_sed,fine_medium_silt_sed,coarse_silt_sed,texture_class,Clay,Sand,Silt,Texture class
2,22703,1.0,0.120002597739966,14.0,13.87999740226,8.32,0.6811,9.4536662306793,4.42633117158072,114.4,718.6,95.5,71.4,loamy_sand,114.4,718.6,166.9,loamy_sand
16,966,670.5,80.4617417846473,87.0,6.53825821535264,,0.7344192104,4.8018224359106,1.73643577944204,596.1,63.1,150.8,190.0,clay,596.1,63.1,340.8,clay
22,10535,52.0,6.24013508247824,9.2,2.95986491752175,17.0,0.518003645,1.53322081598389,1.42664410153786,410.1,356.0,107.6,126.4,clay,410.1,356.0,234.0,clay
31,1029,414.3,49.717076243668,55.8,6.08292375633198,,0.741710614,4.51176911422418,1.5711546421078,391.1,99.9,168.8,340.2,silty_clay_loam,391.1,99.9,509.0,silty_clay_loam
41,10044,92.8476011429289,11.1419533310757,44.0,32.8580466689242,31.5,0.462290614451708,15.1899665842599,17.6680800846643,293.4,208.3,393.6,104.6,clay_loam,293.4,208.3,498.20000000000005,clay_loam
75,2601,74.0,8.8801922327575,33.1,24.2198077672425,,0.559084517412977,13.5409195373838,10.6788882298586,148.18246,186.51506,352.02006,295.61658,silt_loam,148.18246,186.51506,647.6366399999999,silt_loam
83,2580,162.0,19.4404208338745,40.764,21.3235791661254,,0.494360963620087,10.541545144395,10.7820340217304,156.592069999999,92.19004,396.78982,332.05785,silt_loam,156.592069999999,92.19004,728.84767,silt_loam
101,2573,102.0,12.2402649694765,39.216,26.9757350305234,,0.501251736447981,13.5216340260105,13.4541010045129,157.91493,331.26962,283.13138,221.65086,silt_loam,157.91493,331.26962,504.78224,silt_loam
105,2939,243.0,29.1606312508118,48.7,19.5393687491882,,0.617988400117055,12.075103232608,7.4642655165802,196.75032,79.20569,396.00162,311.86428,silt_loam,196.75032,79.20569,707.8659,silt_loam
114,10639,50.3286031058832,6.03956311332971,17.7,11.6604368866702,10.1,0.7456,8.69402174270136,2.96641514396891,190.5,96.8,354.1,358.7,silt_loam,190.5,96.8,712.8,silt_loam
118,9149,2.0,0.240005195479932,7.4,7.15999480452006,6.5,0.690398335161472,4.94324849280544,2.21674631171462,103.0,590.1,96.3,210.5,sandy_loam,103.0,590.1,306.8,sandy_loam
148,5639,1.0,0.120002597739966,9.2,9.07999740226003,8.7,0.62443460245198,5.66986456814525,3.41013283411477,138.102087684696,486.17816544302,133.673156173656,242.046590698626,sandy_loam,138.102087684696,486.17816544302,375.71974687228203,sandy_loam
149,5653,1.0,0.120002597739966,10.3,10.17999740226,9.6,0.605752685667545,6.16656076650765,4.01343663575238,127.165789961151,487.24051746396,110.268699855047,275.32499271984,sandy_loam,127.165789961151,487.24051746396,385.593692574887,sandy_loam
191,10660,1.84363116586228,0.221240529177836,11.2,10.9787594708221,10.08,0.6459,7.09118074220403,3.88757872861812,142.6,120.5,303.0,433.8,silt_loam,142.6,120.5,736.8,silt_loam
202,6406,22.0,2.64005715027925,20.6,17.9599428497207,8.5,0.736285764416131,13.2236502499766,4.73629259974407,426.9,213.0,225.1,135.1,clay,426.9,213.0,360.2,clay
205,6925,1.0,0.120002597739966,12.5092959403992,12.3892933426592,10.2,0.676579331899491,8.3823398124832,4.00695353017603,457.8,79.2,362.0,101.0,silty_clay,457.8,79.2,463.0,silty_clay
223,10742,81.0,9.72021041693726,29.3,19.5797895830627,17.85,0.5687,11.1350263358877,8.44476324717495,332.8,289.3,238.2,139.7,loam,332.8,289.3,377.9,loam
228,9666,7.54803796001815,0.905784163042053,26.7,25.7942158369579,17.8,0.495686129175679,12.7858350033436,13.0083808336142,391.5,151.3,347.9,109.3,silty_clay_loam,391.5,151.3,457.2,silty_clay_loam
247,9664,4.5,0.540011689829848,15.7,15.1599883101701,13.4,0.498848071214934,7.56253092816932,7.59745738200082,164.0,503.0,203.7,129.3,sandy_loam,164.0,503.0,333.0,sandy_loam
248,10228,0.0,0.0,10.7,10.7,9.25,0.687,7.3509,3.34909999999999,152.1,94.0,293.8,460.1,silt_loam,152.1,94.0,753.9000000000001,silt_loam
251,7356,1.0,0.120002597739966,10.67,10.54999740226,9.1,0.657582598268623,6.93749470350537,3.61250269875465,251.6,334.1,277.7,136.6,loam,251.6,334.1,414.29999999999995,loam
261,10163,159.6,19.1524145992986,41.1,21.9475854007013,18.4,0.479200946155956,10.5173036898547,11.4302817108466,356.1,225.6,353.3,64.9,clay_loam,356.1,225.6,418.20000000000005,clay_loam
262,10164,129.682294684128,15.5622122429751,45.6,30.0377877570248,21.0,0.478361755631343,14.368928886732,15.6688588702927,185.0,219.7,386.3,208.9,silt_loam,185.0,219.7,595.2,silt_loam
263,10161,121.227430825283,14.547606616376,37.9,23.3523933836239,20.2,0.477277093561871,11.1455624418495,12.2068309417744,193.9,222.8,373.1,210.3,silt_loam,193.9,222.8,583.4000000000001,silt_loam
269,10334,129.0,15.4803351084556,31.9,16.4196648915443,15.0,0.468217030034843,7.68796672968628,8.73169816185807,191.9,494.2,176.7,137.2,sandy_loam,191.9,494.2,313.9,sandy_loam
271,10332,209.383259258581,25.1265350342905,48.1,22.9734649657094,20.1,0.502350868609782,11.5407400805005,11.4327248852089,223.3,157.7,533.6,85.4,silt_loam,223.3,157.7,619.0,silt_loam
272,10337,174.0,20.8804520067541,41.3,20.4195479932458,16.6,0.463818038317931,9.47095469356614,10.9485932996797,270.5,443.8,216.1,69.6,loam,270.5,443.8,285.7,loam
278,10491,244.897587788304,29.3883467148479,57.1,27.711653285152,17.7,0.484597173218683,13.4289888472009,14.2826644379511,582.6,48.3,312.2,56.9,clay,582.6,48.3,369.09999999999997,clay
282,10790,43.9346221391131,5.2722687874174,21.9,16.6277312125826,15.34,0.6008,9.98994091251962,6.63779030006297,428.8,172.8,219.8,178.6,silty_clay,428.8,172.8,398.4,silty_clay
300,10810,60.0,7.20015586439797,23.5,16.299844135602,14.13,0.5144,8.38463982335368,7.91520431224834,167.9,497.2,175.8,159.1,sandy_loam,167.9,497.2,334.9,sandy_loam
304,10818,1.0,0.120002597739966,9.1,8.97999740226003,8.36,0.5972,5.36285444862969,3.61714295363034,70.6,679.7,98.6,151.1,sandy_loam,70.6,679.7,249.7,sandy_loam
305,10091,200.4,24.0485205870892,44.2,20.1514794129107,18.9,0.495879181830371,9.99269912394575,10.158780288965,428.7,73.7,382.1,115.5,silty_clay,428.7,73.7,497.6,silty_clay
318,10333,180.06056537654,21.6077355957118,36.5,14.8922644042881,17.6,0.535184286237458,7.97010589566847,6.9221585086197,102.4,723.7,108.0,66.0,loamy_sand,102.4,723.7,174.0,loamy_sand
334,10520,4.0,0.480010390959864,10.7,10.2199896090401,9.4,0.696114532,7.11428328374183,3.10570632529829,285.6,383.6,157.7,173.0,loam,285.6,383.6,330.7,loam
342,10522,1.0,0.120002597739966,10.6,10.47999740226,9.6,0.635151446,6.6563855041217,3.82361189813832,203.5,202.1,249.6,344.8,silt_loam,203.5,202.1,594.4,silt_loam
366,10966,194.0,23.2805039615534,35.7,12.4194960384465,11.72,0.7258,9.0140702247045,3.40542581374204,207.3,60.7,474.5,257.5,silt_loam,207.3,60.7,732.0,silt_loam
370,10983,1.0,0.120002597739966,13.5,13.37999740226,12.03,0.6648,8.89502227302246,4.48497512923756,429.7,49.9,259.8,260.5,silty_clay,429.7,49.9,520.3,silty_clay
371,10961,3.0,0.360007793219898,12.4,12.0399922067801,11.09,0.7569,9.11307010131185,2.92692210546824,428.2,29.0,283.9,259.0,silty_clay,428.2,29.0,542.9,silty_clay
372,10725,6.0,0.720015586439797,41.9,41.1799844135602,17.77,0.5345,22.0107016690479,19.1692827445122,422.3,48.2,313.9,215.7,silty_clay,422.3,48.2,529.5999999999999,silty_clay
392,10274,115.0,13.8002987400961,43.5,29.6997012599038,26.3,0.483305043749361,14.3540154167608,15.345685843143,400.0,63.8,414.5,121.7,silty_clay_loam,400.0,63.8,536.2,silty_clay_loam
422,11241,582.0,69.8415118846603,84.7,14.8584881153396,10.09,0.6353,9.43959749967528,5.41889061566437,450.7,91.6,373.7,84.0,silty_clay,450.7,91.6,457.7,silty_clay
437,11278,434.0,52.0811274191453,70.1,18.0188725808546,15.58,0.6667,12.0131823496557,6.00569023119885,496.9,51.9,391.3,60.0,silty_clay,496.9,51.9,451.3,silty_clay
441,11125,383.0,45.960994934407,70.4,24.4390050655929,22.95,0.5211,12.7351655396804,11.7038395259124,441.0,46.5,343.8,168.7,silty_clay,441.0,46.5,512.5,silty_clay
445,11277,93.0,11.1602415898168,28.3,17.1397584101831,16.2,0.5774,9.89649650603974,7.24326190414339,328.6,52.4,405.0,214.0,silty_clay_loam,328.6,52.4,619.0,silty_clay_loam
447,11338,69.0,8.28017924405767,46.8,38.5198207559423,32.6,0.4602,17.7268215118846,20.7929992440576,640.0,57.9,224.4,77.8,clay,640.0,57.9,302.2,clay
453,24375,5.0,0.600012988699831,12.78,12.1799870113001,11.36,0.6651,8.10090936121574,4.07907765008442,224.2,472.1,98.5,205.2,loam,224.2,472.1,303.7,loam
454,11340,8.0,0.960020781919729,32.5,31.5399792180802,26.95,0.5046,15.9150735134433,15.6249057046369,482.2,138.0,260.0,119.8,clay,482.2,138.0,379.8,clay
457,11332,0.0,0.0,47.5,47.5,41.1,0.4479,21.27525,26.22475,489.1,70.8,267.4,172.7,silty_clay,489.1,70.8,440.09999999999997,silty_clay
461,11330,2.0,0.240005195479932,50.4,50.15999480452,45.25,0.4455,22.3462776854136,27.8137171191063,574.6,80.0,238.7,106.7,clay,574.6,80.0,345.4,clay
477,11355,273.0,32.7607091830107,59.4,26.6392908169892,21.87,0.5568,14.8327571268996,11.8065336900896,646.9,11.4,250.0,91.6,clay,646.9,11.4,341.6,clay
482,11367,41.0,4.92010650733861,35.0,30.0798934926613,25.2,0.51,15.3407456812573,14.739147811404,34.7,38.1,784.5,142.6,silt_loam,34.7,38.1,927.1,silt_loam
489,9371,151.1,18.1323925185089,36.7,18.5676074814911,17.0,0.546476279556413,10.146757056749,8.42085042474202,366.6,161.8,291.6,179.9,silty_clay_loam,366.6,161.8,471.5,silty_clay_loam
495,9411,239.2,28.7046213793999,58.7,29.9953786206,30.6,0.441964566785283,13.256894517614,16.738484102986,461.2,72.8,367.7,98.3,silty_clay,461.2,72.8,466.0,silty_clay
505,11422,1.0,0.120002597739966,14.6,14.47999740226,9.39,0.6435,9.31787832835432,5.1621190739057,150.8,101.8,323.7,423.7,silt_loam,150.8,101.8,747.4,silt_loam
514,10149,1.0,0.120002597739966,14.0,13.87999740226,12.3,0.617788487,8.57490259470615,5.30509480755387,392.1,326.7,219.8,61.4,loam,392.1,326.7,281.2,loam
517,10180,132.7,15.9243447200935,81.6,65.6756552799064,25.0,0.479803990464387,31.5114414796626,34.1642138002438,460.2,138.8,303.4,97.6,silty_clay,460.2,138.8,401.0,silty_clay
526,10540,1.0,0.120002597739966,16.7,16.57999740226,7.9,0.60780139,10.07734546729,6.50265193496999,133.8,262.0,261.2,342.9,silt_loam,133.8,262.0,604.0999999999999,silt_loam
532,11426,1.0,0.120002597739966,15.3,15.17999740226,10.76,0.6193,9.40097239121964,5.77902501104039,265.8,134.0,324.4,275.9,silty_clay_loam,265.8,134.0,600.3,silty_clay_loam
539,17919,1.0,0.120002597739966,13.3,13.17999740226,10.62,0.5284,6.9643106273542,6.21568677490583,124.7,484.2,199.3,191.8,sandy_loam,124.7,484.2,391.1,sandy_loam
550,11762,119.0,14.2803091310559,27.4,13.119690868944,13.64,0.663199999999999,8.70097898428367,4.41871188466034,382.9,329.8,254.4,32.9,loam,382.9,329.8,287.3,loam
552,11761,110.0,13.2002857513962,26.4,13.1997142486037,14.25,0.6757,8.91904691778152,4.28066733082218,599.1,188.1,171.7,41.1,clay,599.1,188.1,212.79999999999998,clay
555,11767,332.0,39.8408624496687,53.3,13.4591375503312,17.91,0.6344,8.53847686193012,4.92066068840109,368.2,150.8,416.3,64.8,silty_clay_loam,368.2,150.8,481.1,silty_clay_loam
557,10300,428.0,51.3611118327055,98.8,47.4388881672944,42.5,0.419685636162541,19.9094199593346,27.5294682079598,523.6,39.8,322.6,114.0,silty_clay,523.6,39.8,436.6,silty_clay
558,10336,127.0,15.2403299129757,30.7,15.4596700870242,13.1,0.487014427842718,7.52908238206931,7.93058770495497,129.6,643.6,115.9,110.9,sandy_loam,129.6,643.6,226.8,sandy_loam
565,9248,1.0,0.120002597739966,9.6,9.47999740226003,7.9,0.724377512369093,6.86709693551458,2.61290046674544,308.6,229.2,283.6,178.5,clay_loam,308.6,229.2,462.1,clay_loam
566,9249,2.0,0.240005195479932,10.2,9.95999480452006,8.7,0.715384573388382,7.12522663418209,2.83476817033797,315.0,199.0,345.9,140.0,silty_clay_loam,315.0,199.0,485.9,silty_clay_loam
573,9255,2.0,0.240005195479932,8.7,8.45999480452006,7.1,0.742976154997866,6.28557441116424,2.17442039335582,203.3,224.3,297.4,275.0,silt_loam,203.3,224.3,572.4,silt_loam
575,9281,4.0,0.480010390959864,6.5,6.01998960904013,5.6,0.749426766,4.51154134405655,1.50844826498358,75.4,823.1,63.8,37.7,loamy_sand,75.4,823.1,101.5,loamy_sand
580,9343,354.0,42.480919599948,70.0,27.5190804000519,27.2,0.458590828749343,12.6199978870796,14.8990825129723,481.9,34.2,358.0,126.0,silty_clay,481.9,34.2,484.0,silty_clay
584,9365,61.3,7.35615924145992,24.3,16.94384075854,14.8,0.600300211210014,10.1713911860604,6.77244957247962,410.8,130.6,304.7,153.9,silty_clay,410.8,130.6,458.6,silty_clay
587,9366,357.077805752367,42.850264285571,72.8,29.9497357144289,22.7,0.476677170727975,14.2763552844045,15.6733804300243,515.4,69.7,356.3,58.6,silty_clay,515.4,69.7,414.90000000000003,silty_clay
593,10048,130.5,15.6603390050655,36.3,20.6396609949344,18.2,0.50047246002595,10.3295819122364,10.3100790826979,443.9,124.7,368.9,62.5,silty_clay,443.9,124.7,431.4,silty_clay
597,10099,137.277177820055,16.4736179488178,49.6,33.1263820511821,13.2,0.473155367988677,15.6739254895605,17.4524565616215,431.5,122.7,334.1,111.8,silty_clay,431.5,122.7,445.90000000000003,silty_clay
627,17981,204.0,24.4805299389531,40.1,15.6194700610468,15.31,0.6201,9.68563338485517,5.93383667619171,266.7,99.7,455.1,178.4,silty_clay_loam,266.7,99.7,633.5,silty_clay_loam
628,17988,5.0,0.600012988699831,21.2,20.5999870113001,19.19,0.5773,11.8923725016235,8.70761450967658,566.0,182.1,171.1,80.8,clay,566.0,182.1,251.89999999999998,clay
634,17983,144.0,17.2803740745551,46.0,28.7196259254448,25.51,0.4814,13.8256279205091,14.8939980049357,182.4,321.7,383.0,112.9,loam,182.4,321.7,495.9,loam
636,17986,305.0,36.6007923106897,50.6,13.9992076893103,13.76,0.6892,9.64825393947265,4.35095374983764,278.3,102.7,467.9,151.0,silty_clay_loam,278.3,102.7,618.9,silty_clay_loam
638,17967,5.93371670534925,0.712061418894943,17.2,16.487938581105,14.6,0.616,10.1565701659607,6.33136841514434,411.0,391.2,117.3,80.6,clay,411.0,391.2,197.89999999999998,clay
669,17996,124.656718791796,14.9591300807559,29.9,14.940869919244,13.55,0.6978,10.4257390296484,4.51513088959554,243.6,74.1,484.8,197.6,silt_loam,243.6,74.1,682.4,silt_loam
677,18000,284.0,34.0807377581504,48.6,14.5192622418495,16.99,0.5396,7.83459390570203,6.68466833614755,189.0,167.6,401.8,241.7,silt_loam,189.0,167.6,643.5,silt_loam
701,18154,208.0,24.9605403299129,47.8,22.839459670087,23.18,0.4981,11.3763348616703,11.4631248084166,337.3,124.7,376.1,161.9,silty_clay_loam,337.3,124.7,538.0,silty_clay_loam
705,11500,199.0,23.8805169502532,47.4,23.5194830497467,17.21,0.5754,13.5331105468242,9.98637250292245,344.8,103.9,424.6,126.6,silty_clay_loam,344.8,103.9,551.2,silty_clay_loam
710,11059,143.138773903495,17.177024705733,31.2,14.0229752942669,14.26,0.61,8.55401492950281,5.46896036476409,351.7,98.2,457.6,92.5,silty_clay_loam,351.7,98.2,550.1,silty_clay_loam
717,11227,20.184083221384,2.42214241956574,12.0,9.57785758043425,8.6,0.7443,7.12879939711721,2.44905818331703,194.9,680.6,84.2,40.3,sandy_loam,194.9,680.6,124.5,sandy_loam
727,11222,461.0,55.3211975581244,72.0,16.6788024418755,10.46,0.7409,12.3573247291856,4.32147771268995,401.4,53.2,464.0,81.4,silty_clay_loam,401.4,53.2,545.4,silty_clay_loam
730,11043,38.0,4.56009871411871,15.9,11.3399012858812,9.24,0.7269,8.2429742447071,3.09692704117417,383.3,406.6,134.1,75.9,clay_loam,383.3,406.6,210.0,clay_loam
732,11056,20.2276224282817,2.427367237497,14.8,12.3726327625029,10.97,0.6529,8.0780919306382,4.29454083186478,333.9,241.8,215.2,209.1,clay_loam,333.9,241.8,424.29999999999995,clay_loam
738,11030,189.950070323488,22.7945018797078,34.8,12.0054981202921,11.7,0.72635903862795,8.72030207290508,3.28519604738708,222.4,207.8,371.2,198.5,silt_loam,222.4,207.8,569.7,silt_loam
762,17932,47.6117162835255,5.71352963688131,31.0,25.2864703631186,23.7,0.493912329331841,12.4892994776285,12.7971708854901,293.2,105.4,393.2,208.2,silty_clay_loam,293.2,105.4,601.4,silty_clay_loam
763,11515,410.198277412945,49.2248588780127,65.7,16.4751411219872,14.6,0.6067466147227,9.99623610284452,6.47890501914275,369.7,104.4,453.8,72.2,silty_clay_loam,369.7,104.4,526.0,silty_clay_loam
769,11229,242.0,29.0406286530718,42.0,12.9593713469281,12.99,0.722,9.35666611248213,3.60270523444603,314.6,67.0,508.1,110.3,silty_clay_loam,314.6,67.0,618.4,silty_clay_loam
794,11623,1.0,0.120002597739966,13.7,13.57999740226,11.74,0.6234,8.4657703805689,5.11422702169112,208.4,465.4,169.2,157.0,loam,208.4,465.4,326.2,loam
804,18249,346.0,41.5208988180283,54.6,13.0791011819716,13.35,0.6128,8.01487320431225,5.06422797765943,116.5,107.0,492.3,284.2,silt_loam,116.5,107.0,776.5,silt_loam
807,18254,470.0,56.4012209377841,68.2,11.7987790622158,13.51,0.5734,6.76541991427458,5.03335914794129,140.4,70.0,444.6,345.0,silt_loam,140.4,70.0,789.6,silt_loam
810,18266,3.0,0.360007793219898,9.1,8.7399922067801,8.17,0.5838,5.10240745031822,3.63758475646187,138.4,706.6,84.3,70.7,loamy_sand,138.4,706.6,155.0,loamy_sand
813,18269,131.0,15.7203403039355,32.2,16.4796596960644,16.56,0.5063,8.34365170411742,8.13600799194701,477.7,266.4,143.3,112.5,clay,477.7,266.4,255.8,clay
814,18263,6.0,0.720015586439797,20.4,19.6799844135602,18.27,0.5315,10.4599117158072,9.22007269775295,375.1,139.6,271.8,213.5,silty_clay_loam,375.1,139.6,485.3,silty_clay_loam
824,18302,1.0,0.120002597739966,17.0,16.87999740226,11.8,0.4264,7.19763089232367,9.68236650993635,128.7,684.2,75.6,111.6,sandy_loam,128.7,684.2,187.2,sandy_loam
827,18321,3.0,0.360007793219898,6.9,6.5399922067801,6.24,0.7722,5.05018198207559,1.4898102247045,144.2,561.0,129.0,165.8,sandy_loam,144.2,561.0,294.8,sandy_loam
835,18566,3.0,0.360007793219898,12.0,11.6399922067801,15.99,0.55,6.40199571372905,5.23799649305104,260.8,178.3,316.9,244.1,silty_clay_loam,260.8,178.3,561.0,silty_clay_loam
848,11701,0.0,0.0,12.0,12.0,7.99,0.6899,8.2788,3.7212,168.9,338.5,302.6,190.0,loam,168.9,338.5,492.6,loam
849,11741,1.0,0.120002597739966,9.5,9.37999740226003,0.6,0.7923,7.43177194181062,1.9482254604494,160.8,577.6,170.5,91.1,sandy_loam,160.8,577.6,261.6,sandy_loam
852,11702,100.0,12.0002597739966,38.2,26.1997402260033,17.48,0.554,14.5146560852058,11.6850841407975,387.8,194.1,259.9,158.1,silty_clay_loam,387.8,194.1,418.0,silty_clay_loam
870,17955,314.506732714289,37.7416249324239,49.6,11.8583750675761,13.5,0.600204740307381,7.11745292790203,4.74092213967406,179.2,192.4,410.2,218.2,silt_loam,179.2,192.4,628.4,silt_loam
873,17977,162.858596011092,19.5434545856147,43.4,23.8565454143852,23.4,0.520202225481263,12.410228016858,11.4463173975272,302.9,95.6,495.3,106.2,silty_clay_loam,302.9,95.6,601.5,silty_clay_loam
883,721,0.0,0.0,10.9,10.9,,0.6650855356,7.24943233804,3.65056766196,402.7,136.8,157.0,303.5,silty_clay,402.7,136.8,460.5,silty_clay
891,791,0.0,0.0,17.5,17.5,,0.6549186667,11.46107666725,6.03892333275,464.7,53.4,180.8,301.1,silty_clay,464.7,53.4,481.90000000000003,silty_clay
899,863,0.0,0.0,9.7,9.7,,0.7447816106,7.22438162282,2.47561837718,438.5,70.2,181.1,310.2,silty_clay,438.5,70.2,491.29999999999995,silty_clay
906,1050,452.2,54.2651746980127,60.8,6.53482530198726,,0.7681788372,5.01991450178571,1.51491080020155,539.2,122.1,144.5,194.2,clay,539.2,122.1,338.7,clay
908,1071,4.6,0.552011949603844,10.6,10.0479880503961,,0.7107930004,7.14203957432443,2.90594847607172,175.4,701.1,36.7,86.8,sandy_loam,175.4,701.1,123.5,sandy_loam
910,1085,283.4,34.0087361995064,46.4,12.3912638004935,,0.636625401599999,7.88859329332076,4.5026705071728,125.4,714.5,50.6,109.5,sandy_loam,125.4,714.5,160.1,sandy_loam
911,1092,198.1,23.7725146122873,40.5,16.7274853877126,,0.6214172534,10.394748025921,6.33273736179163,144.8,594.8,54.8,205.6,sandy_loam,144.8,594.8,260.4,sandy_loam
912,1099,137.8,16.5363579685673,29.6,13.0636420314326,,0.6553611463,8.56140341657256,4.50223861486008,245.3,320.0,119.8,314.9,loam,245.3,320.0,434.7,loam
916,1127,641.8,77.0176672295103,83.9,6.88233277048968,,0.541600731,3.72747645948246,3.15485631100721,833.1,10.9,85.0,71.0,clay,833.1,10.9,156.0,clay
920,1155,47.8,5.73612417197038,17.4,11.6638758280296,,0.7981694161,9.3097489591213,2.35412686890831,444.7,220.7,110.4,224.2,clay,444.7,220.7,334.6,clay
923,1176,272.6,32.7127081439148,48.2,15.4872918560852,,0.5743867638,8.89569544924288,6.59159640684233,417.8,246.0,110.0,226.2,clay,417.8,246.0,336.2,clay
927,1303,544.7,65.3654149889596,72.0,6.63458501104038,,0.575527119799999,3.81838360247232,2.81620140856806,414.2,180.6,143.9,261.3,silty_clay,414.2,180.6,405.20000000000005,silty_clay
931,1563,67.9,8.1481763865437,27.0,18.8518236134562,,0.5899263166,11.1211868654791,7.73063674797712,620.7,8.0,310.1,61.3,clay,620.7,8.0,371.40000000000003,clay
932,1570,0.0,0.0,14.8,14.8,,0.6461156389,9.56251145572,5.23748854428,597.0,49.4,282.2,71.5,clay,597.0,49.4,353.7,clay
939,1617,2.9,0.348007533445902,34.1,33.7519924665541,,0.4657022368,15.7183783881309,18.0336140784231,653.4,19.7,305.8,21.2,clay,653.4,19.7,327.0,clay
940,1627,3.4,0.408008832315885,39.5,39.0919911676841,,0.4160143402,16.2628289127283,22.8291622549557,638.3,61.4,267.2,33.1,clay,638.3,61.4,300.3,clay
